iter	Logloss
0	0.6692983581
1	0.6481678921
2	0.6280861171
3	0.6134811034
4	0.5981646461
5	0.5848333852
6	0.5739378761
7	0.5621677598
8	0.5524882056
9	0.543536023
10	0.5370661238
11	0.5291306902
12	0.5230683538
13	0.5171755261
14	0.5118862729
15	0.5074033832
16	0.501903658
17	0.4975011844
18	0.4937237385
19	0.4900987941
20	0.4869370521
21	0.4834542065
22	0.4809165426
23	0.4784532949
24	0.4759123504
25	0.4741019717
26	0.4717012699
27	0.4698985314
28	0.4680029021
29	0.4663299172
30	0.4644770211
31	0.4632513972
32	0.4620622044
33	0.4607169274
34	0.4602190635
35	0.4590953951
36	0.4579412954
37	0.4568941583
38	0.4559750051
39	0.4546739721
40	0.4538810331
41	0.4530766122
42	0.4523664202
43	0.4516969327
44	0.4509215618
45	0.4501992837
46	0.4495189187
47	0.4488472729
48	0.4481936702
49	0.4475547003
50	0.4469094283
51	0.446596785
52	0.4459868219
53	0.4453026584
54	0.4445844809
55	0.4440091793
56	0.4433351595
57	0.442685571
58	0.4422572027
59	0.4416868218
60	0.4409901836
61	0.4406153829
62	0.4401780793
63	0.4395682026
64	0.4391455751
65	0.4386572507
66	0.4382681624
67	0.4375105754
68	0.4371600333
69	0.4365328043
70	0.4360066243
71	0.4355781264
72	0.4351629665
73	0.4347621373
74	0.4346076501
75	0.4342464463
76	0.4337810425
77	0.4333568611
78	0.433002909
79	0.4326899635
80	0.4322357825
81	0.4318912404
82	0.4313972613
83	0.4310852223
84	0.4307667086
85	0.4303800807
86	0.4299830068
87	0.42949274
88	0.4290580264
89	0.4287954112
90	0.4283039789
91	0.4278653804
92	0.4272028857
93	0.4268044306
94	0.4265886061
95	0.4261606262
96	0.425740416
97	0.4254531105
98	0.4252379335
99	0.4244763322
100	0.4239928422
101	0.4236758393
102	0.4234051954
103	0.4231682201
104	0.4230454592
105	0.4228516488
106	0.4222171249
107	0.4220030271
108	0.4217258221
109	0.4211530672
110	0.4209662064
111	0.4207639357
112	0.4203126899
113	0.420075283
114	0.4194534064
115	0.4191408495
116	0.41857267
117	0.4182031354
118	0.4178223779
119	0.4174989433
120	0.4172949029
121	0.4169866624
122	0.4166281348
123	0.416235248
124	0.4157479163
125	0.4155458183
126	0.4149019708
127	0.414475847
128	0.414079507
129	0.4136962027
130	0.4132972296
131	0.4131282391
132	0.4128827172
133	0.4124413562
134	0.4120469586
135	0.4116729779
136	0.4112158618
137	0.4106685309
138	0.4101998897
139	0.4098530598
140	0.4094842158
141	0.4090735882
142	0.4087384128
143	0.4086063714
144	0.4082094271
145	0.4079077476
146	0.4074580126
147	0.4070508814
148	0.4064864141
149	0.4059683922
150	0.405576973
151	0.4051456694
152	0.4046598054
153	0.4044339667
154	0.4041237838
155	0.403890607
156	0.4036991708
157	0.4033533768
158	0.4031364301
159	0.402583531
160	0.4024415616
161	0.401946374
162	0.4017302906
163	0.4016038606
164	0.4010475946
165	0.4007428937
166	0.4004030133
167	0.4000595503
168	0.3998248628
169	0.399434868
170	0.3991854612
171	0.3988911198
172	0.3985328512
173	0.398170482
174	0.3979247011
175	0.3975717418
176	0.3971946533
177	0.3966565166
178	0.3962659607
179	0.3959310874
180	0.3956705441
181	0.3953266063
182	0.3949680787
183	0.3947756496
184	0.3943767197
185	0.3940303646
186	0.393874453
187	0.3933214244
188	0.392897761
189	0.3924187171
190	0.3921358144
191	0.3918555016
192	0.3914625716
193	0.3910940297
194	0.3908141054
195	0.3905325408
196	0.3903464138
197	0.3897183646
198	0.3893099384
199	0.3890998981
